wavelength,intensity
581.26,1.148e+13
581.6,1.3454e+13
581.93,1.249e+13
582.27,1.4289e+13
582.6,1.2871e+13
582.94,1.2871e+13
583.27,1.4289e+13
583.61,1.4289e+13
583.94,1.4289e+13
584.28,1.5507e+13
584.61,1.6271e+13
584.94,1.6271e+13
585.28,1.6886e+13
585.61,1.7253e+13
585.95,1.7253e+13
586.28,1.7253e+13
586.62,1.7606e+13
586.95,1.7606e+13
587.29,1.7606e+13
587.62,1.7606e+13
587.95,1.739e+13
588.29,1.709e+13
588.62,1.709e+13
588.96,1.6336e+13
589.29,1.709e+13
589.62,1.7469e+13
589.96,1.7469e+13
590.29,1.7914e+13
590.63,1.7914e+13
590.96,1.7861e+13
591.29,1.7861e+13
591.63,1.8103e+13
591.96,1.8103e+13
592.29,1.8103e+13
592.63,1.7262e+13
592.96,1.7262e+13
593.3,1.6308e+13
593.63,1.6135e+13
593.96,1.6146e+13
594.3,1.6146e+13
594.63,1.6146e+13
594.96,1.6146e+13
595.3,1.7989e+13
595.63,2.0222e+13
595.96,2.0222e+13
596.29,2.1101e+13
596.63,2.1101e+13
596.96,2.1101e+13
597.29,2.1901e+13
597.63,2.1457e+13
597.96,2.1751e+13
598.29,2.1457e+13
598.63,2.007e+13
598.96,2.007e+13
599.29,2.1457e+13
599.62,2.1457e+13
599.96,2.1751e+13
600.29,2.1751e+13
600.62,2.2395e+13
600.95,2.2395e+13
601.29,2.1743e+13
601.62,2.3029e+13
601.95,2.3179e+13
602.28,2.3179e+13
602.61,2.3736e+13
602.95,2.264e+13
603.28,2.264e+13
603.61,2.264e+13
603.94,2.264e+13
604.27,2.264e+13
604.61,2.2964e+13
604.94,2.2964e+13
605.27,2.3221e+13
605.6,2.3221e+13
605.93,2.253e+13
606.27,2.2814e+13
606.6,2.2134e+13
606.93,2.2134e+13
607.26,2.2134e+13
607.59,2.1836e+13
607.92,2.1836e+13
608.26,2.0866e+13
608.59,2.0866e+13
608.92,2.1615e+13
609.25,2.1615e+13
609.58,2.1615e+13
609.91,2.2562e+13
610.24,2.2814e+13
610.57,2.2814e+13
